N,infa_C_Au,infa_S_Mg,infa_S_O,cc,cs_Mg,cs_O,ave_GCN,csDist_Mg,csDist_O,Zdist,Ecoh,Eadh,Eb,Etot,Config
1,1,1,0,0,1,0,1.972,2.855,-0.556,1.167,-0.001,1.304,1.303,-367.335,1Au
1,1,1,0,0,1,0,2.433,3.184,-0.095,1.167,-0.001,-0.663,-0.665,-369.303,1Au
1,1,1,0,0,1,0,2.895,3.542,0.367,1.167,-0.001,-0.747,-0.748,-369.386,1Au
1,0,0,0,0,0,0,3.356,3.922,0.828,0,-0.001,-0.563,-0.564,-369.202,1Au
1,0,0,0,0,0,0,3.817,4.317,1.289,0,-0.001,-0.348,-0.35,-368.988,1Au
1,1,1,0,0,1,1,2.017,2.558,-0.556,1.167,-0.001,0.922,0.921,-367.717,1Au
1,1,1,0,0,1,0,2.47,2.92,-0.095,1.167,-0.001,-0.743,-0.744,-369.382,1Au
1,1,1,0,0,1,0,2.925,3.307,0.367,1.167,-0.001,-0.773,-0.775,-369.413,1Au
1,0,0,0,0,0,0,3.382,3.711,0.828,0,-0.001,-0.569,-0.57,-369.209,1Au
1,0,0,0,0,0,0,3.84,4.127,1.289,0,-0.001,-0.348,-0.349,-368.987,1Au
1,1,2,0,0,2,2,2.061,2.593,-0.556,2.333,-0.001,0.631,0.63,-368.008,1Au
1,1,1,0,0,1,0,2.506,2.951,-0.095,1.167,-0.001,-0.8,-0.801,-369.439,1Au
1,1,1,0,0,1,0,2.956,3.334,0.367,1.167,-0.001,-0.795,-0.796,-369.434,1Au
1,0,0,0,0,0,0,3.409,3.735,0.828,0,-0.001,-0.574,-0.575,-369.213,1Au
1,0,0,0,0,0,0,3.864,4.149,1.289,0,-0.001,-0.348,-0.349,-368.987,1Au
1,0,0,0,0,0,0,4.044,3.882,1.289,0,-0.001,-0.349,-0.35,-368.988,1Au
1,1,2,1,0,2,2,2.492,2.262,-0.556,2.833,-0.001,-0.455,-0.456,-369.094,1Au
1,1,2,0,0,2,1,2.871,2.664,-0.095,2.333,-0.001,-1.033,-1.035,-369.673,1Au
1,1,2,0,0,0,0,3.271,3.084,0.367,2.333,-0.001,-0.892,-0.894,-369.532,1Au
1,0,0,0,0,0,0,3.686,3.513,0.828,0,-0.001,-0.596,-0.597,-369.235,1Au
1,0,0,0,0,0,0,4.11,3.95,1.289,0,-0.001,-0.365,-0.366,-369.004,1Au
1,1,2,0,0,2,2,2.306,2.451,-0.556,2.333,-0.001,-0.247,-0.248,-368.886,1Au
1,1,2,0,0,2,0,2.711,2.827,-0.095,2.333,-0.001,-0.975,-0.977,-369.615,1Au
1,1,1,0,0,1,0,3.132,3.225,0.367,1.167,-0.001,-0.87,-0.871,-369.509,1Au
1,0,0,0,0,0,0,3.562,3.638,0.828,0,-0.001,-0.591,-0.592,-369.231,1Au
1,0,0,0,0,0,0,4,4.062,1.289,0,-0.001,-0.348,-0.349,-368.987,1Au
1,1,4,1,0,4,1,2.597,1.966,-0.556,5.167,-0.001,-0.557,-0.559,-369.197,1Au
1,1,3,1,0,1,1,2.963,2.418,-0.095,4,-0.001,-1.25,-1.251,-369.889,1Au
1,0,0,0,0,0,0,3.352,2.874,0.367,0,-0.001,-0.966,-0.967,-369.605,1Au
1,0,0,0,0,0,0,3.758,3.331,0.828,0,-0.001,-0.607,-0.608,-369.246,1Au
1,0,0,0,0,0,0,4.175,3.789,1.289,0,-0.001,-0.35,-0.351,-368.989,1Au
1,1,4,1,0,2,1,2.631,2.011,-0.556,5.167,-0.001,-0.607,-0.608,-369.246,1Au
1,1,2,0,0,2,1,2.993,2.455,-0.095,2.333,-0.001,-1.208,-1.209,-369.847,1Au
1,0,0,0,0,0,0,3.379,2.905,0.367,0,-0.001,-0.95,-0.951,-369.589,1Au
1,0,0,0,0,0,0,3.781,3.357,0.828,0,-0.001,-0.605,-0.606,-369.244,1Au
1,0,0,0,0,0,0,4.196,3.812,1.289,0,-0.001,-0.35,-0.351,-368.989,1Au
1,1,2,0,0,2,1,2.776,2.562,-0.095,2.333,-0.001,-1.092,-1.093,-369.732,1Au
1,1,1,0,0,1,0,3.188,2.995,0.367,1.167,-0.001,-0.907,-0.908,-369.546,1Au
1,0,0,0,0,0,0,3.612,3.436,0.828,0,-0.001,-0.598,-0.599,-369.237,1Au
1,0,0,0,0,0,0,4.044,3.882,1.289,0,-0.001,-0.349,-0.35,-368.988,1Au
1,1,2,1,0,2,2,2.187,2.339,-0.556,2.833,-0.001,-0.008,-0.009,-368.647,1Au
1,1,2,0,0,2,1,2.61,2.731,-0.095,2.333,-0.001,-0.938,-0.94,-369.578,1Au
1,1,1,0,0,1,0,3.045,3.141,0.367,1.167,-0.001,-0.848,-0.849,-369.487,1Au
1,0,0,0,0,0,0,3.486,3.564,0.828,0,-0.001,-0.586,-0.587,-369.225,1Au
1,0,0,0,0,0,0,3.932,3.995,1.289,0,-0.001,-0.348,-0.35,-368.988,1Au
1,1,2,0,0,2,2,2.061,2.593,-0.556,2.333,-0.001,0.632,0.63,-368.008,1Au
1,1,1,0,0,1,0,2.506,2.951,-0.095,1.167,-0.001,-0.8,-0.801,-369.439,1Au
1,1,1,0,0,1,0,2.956,3.334,0.367,1.167,-0.001,-0.795,-0.796,-369.435,1Au
1,0,0,0,0,0,0,3.409,3.735,0.828,0,-0.001,-0.574,-0.575,-369.214,1Au
1,0,0,0,0,0,0,3.864,4.149,1.289,0,-0.001,-0.348,-0.349,-368.987,1Au
1,1,4,1,0,4,1,2.89,1.92,-0.556,5.167,-0.001,-0.473,-0.474,-369.112,1Au
1,1,4,1,0,4,1,3.223,2.381,-0.095,5.167,-0.001,-1.296,-1.297,-369.935,1Au
1,0,0,0,0,0,0,3.584,2.842,0.367,0,-0.001,-0.985,-0.987,-369.625,1Au
1,0,0,0,0,0,0,3.966,3.304,0.828,0,-0.001,-0.61,-0.611,-369.249,1Au
1,0,0,0,0,0,0,4.363,3.765,1.289,0,-0.001,-0.351,-0.353,-368.991,1Au
1,1,4,1,0,4,1,2.597,1.966,-0.556,5.167,-0.001,-0.558,-0.559,-369.197,1Au
1,1,3,1,0,1,1,2.963,2.418,-0.095,4,-0.001,-1.25,-1.251,-369.889,1Au
1,0,0,0,0,0,0,3.352,2.874,0.367,0,-0.001,-0.966,-0.967,-369.605,1Au
